cfdaNumber,estimatedTotalAmt,fundsObligatedAmt,fundProgramName,id,pdPIName,piFirstName,piMiddeInitial,piLastName,poName,date,startDate,expDate,title,coPDPI,piFullName
47.074,69485.0,69485,Ecosystem Science,2052571,Tara Hudiburg,Tara,[],Hudiburg,Gary Lamberti,2020-10-26,2020-11-01,2021-10-31,RAPID: Collaborative Research: In-situ forest ecosystem response to wildfire,['Crystal Kolden'],TARA HUDIBURG
47.083,76051.0,76051,EPSCoR Research Infrastructure,2038371,Philip Stevens,Philip,[],Stevens,J.D. Swanson,2020-08-26,2020-10-01,2022-09-30,Collaborative Research: Cultivating Indigenous Research Communities for Leadership and Education in STEM (CIRCLES),"['Sarah Penney', 'Vanessa Anthony-Stevens', 'Karla Eitel']",PHILIP STEVENS
47.083,5830709.0,6430179,EPSCoR RII Track-2 FEC,2019609,Xiaogang Ma,Xiaogang,[],Ma,Pinhas Ben-Tzvi,2020-08-19,2020-09-01,2025-08-31,RII Track-2 FEC: Leveraging Big Data to Improve Prediction of Tick-Borne Disease Patterns and Dynamics,"['Barrie Robison', 'Xun Shi', 'Frederick C Harris']",XIAOGANG MA
47.041,252542.0,252542,Major Research Instrumentation,2019231,Tao Xing,Tao,[],Xing,Harsha Chelliah,2020-08-25,2020-09-01,2023-08-31,MRI: Acquisition of a 3D Printer for Studying Biofluids and Biomechanics,"['Gordon Murdoch', 'Vibhav Durgesh', 'Nathan R Schiele', 'Bryn Martin']",TAO XING
47.076,299911.0,299911,AISL,2006101,Leda N Kobziar,Leda,N,Kobziar,Sandra Welch,2020-06-29,2020-08-01,2022-07-31,Stories of Fire: Integrative Informal STEM Learning through Participatory Narratives,"['Jennifer K Ladino', 'Erin James']",LEDA KOBZIAR
47.074,586223.0,586223,Evolution of Develp Mechanism,2015419,Adam G Jones,Adam,G,Jones,Anna Allen,2020-08-17,2020-08-01,2025-07-31,Collaborative Research: RoL: The evo-devo of male pregnancy and its effects on the brood pouch microbiome,[],ADAM JONES
47.074,1028242.0,1036360,Evolutionary Processes,1953170,Adam G Jones,Adam,G,Jones,Leslie J. Rissler,2020-05-09,2020-07-01,2025-06-30,DEB: Genomics of Sexual Selection in Pipefishes and Seahorses,[],ADAM JONES
47.075,17700.0,17700,Geography & Spatial Sci-DDRI,2012482,Grant Harley,Grant,[],Harley,Jeffrey Mantz,2020-05-21,2020-06-01,2022-11-30,Doctoral Dissertation Research: Temperature reconstructions for the United States Intermountain West,['Karen King'],GRANT HARLEY
47.074,101268.0,101268,COVID-19 Research,2031753,Michelle K McGuire,Michelle,K,McGuire,Joanna Shisler,2020-05-27,2020-06-01,2022-05-31,"RAPID: Collaborative Research: COVID-19, human milk and infant feeding","['Mark McGuire', 'Janet E Williams', 'Ryan M Pace']",MICHELLE MCGUIRE
47.050,117607.0,117607,Paleoclimate,2002524,Grant Harley,Grant,[],Harley,David Verardo,2020-02-24,2020-05-01,2024-04-30,Collaborative Research: P2C2--Summer Temperature Reconstructions for Eastern North America,[],GRANT HARLEY
